mobileBrand,mobileModel,mobileOS,mobileRelease,mobilePrice
Samsung,Samsung T229,Feature phone,2008,219.45
alcatel,alcatel OT-222,Feature phone,2009,494.45
i-mobile,i-mobile 101,Feature phone,2008,356.95
Tecno,Tecno Pouvoir 3,"Android 8.1, HIOS 4.1",2019,180.95
BLU,BLU Neo 3.5,Android 4.2,2014,10999.45
ZTE,ZTE Blade L2,Android 4.2,2014,1099.45
Samsung,Samsung Galaxy M51,"Android 10, up to Android 11, One UI 3.1",2020,604.45
Ericsson,Ericsson SH 888,Feature phone,1998,604.45
Nokia,Nokia 3530,Feature phone,2002,1264.45
Micromax,Micromax Canvas Spark 3 Q385,Android 5.1,2016,180.95
Kyocera,Kyocera Hydro C5170,Android 4.0,2012,1649.45
HTC,HTC Desire 820s dual sim,"Android 4.4.4, Sense UI 6",2015,4399.45
Toshiba,Toshiba 705T,Feature phone,2006,1649.45
alcatel,alcatel Crystal,Feature phone,2009,109.45
LG,LG KG240,Feature phone,2006,208.45
Asus,Asus Zenfone Max (M2) ZB633KL,"Android 8.1, up to Android 9.0",2018,13749.45
Samsung,Samsung C180,Feature phone,2007,1649.45
vivo,vivo Y81,"Android 8.1, Funtouch 4",2018,549.45
alcatel,alcatel 1L (2021),Android 11,2021,219.45
Acer,Acer Iconia Tab A510,Android 4.0,2012,191.95
Samsung,Samsung Galaxy Fold 5G,"Android 9.0, up to Android 11, One UI 3.0",2019,384.45
Nokia,Nokia 108 Dual SIM,Feature phone,2013,219.45
vivo,vivo Y67,"Android 6.0, Funtouch 2.6",2016,2199.45
Xiaomi,Xiaomi Redmi 9C NFC,"Android 10, MIUI 12",2020,180.95
Siemens,Siemens C65,Feature phone,2004,329.45
Samsung,Samsung E1050,Feature phone,2011,7149.45
Tecno,Tecno Spark 5 pro,"Android 10, HIOS 6.1",2020,4949.45
alcatel,alcatel 3L,Android 8.1,2019,1649.45
Panasonic,Panasonic KX-TU301,Feature phone,2011,1924.45
Sony,Sony Xperia L4,Android 9.0,2020,2199.45
alcatel,alcatel OT-S853,Feature phone,2005,345.95
Microsoft,Microsoft Surface,Microsoft Windows RT,2012,323.95
HTC,HTC Butterfly 3,"Android 5.0, up to 6.0, Sence 7",2015,219.45
Ulefone,Ulefone Armor X6,Android 9.0,2019,164.45
Celkon,Celkon C4040,Feature phone,2014,1924.45
BLU,BLU Neo,Feature phone,2012,5499.45
Motorola,Motorola V975,Feature phone,2004,191.95
LG,LG X Skin,Android 6.0,2016,109.45
Sony,Sony Ericsson K810,Feature phone,2007,136.95
Gionee,Gionee M7 Plus,"Android 7.1, Amigo 5",2018,235.95
Oppo,Oppo Reno4 Pro 5G,"Android 10, ColorOS 7.2",2020,1649.45
Xiaomi,Xiaomi Redmi 9AT,"Android 10, MIUI 12",2020,1264.45
Samsung,Samsung Galaxy Star Trios S5283,Android 4.1.2,2014,98.45
alcatel,alcatel OT-E805,Feature phone,0,219.45
Yezz,Yezz Billy 4,Microsoft Windows Phone 8.1,2014,1649.45
Sony,Sony Ericsson J200,Feature phone,2004,246.95
Kyocera,Kyocera TG 200,Feature phone,2000,1979.45
Spice,Spice Smart Flo 503 (Mi-503),Android 4.4.2,2014,98.45
O2,O2 XDA Guide,Microsoft Windows Mobile 6.1 Professional,2009,164.45
Yota,Yota YotaPhone 3,"Android 7.1.1, Yota 3",2017,1374.45
Siemens,Siemens MC60,Feature phone,2003,879.45
Allview,Allview X3 Soul mini,Android 5.1,2016,329.45
Samsung,Samsung C5010 Squash,Feature phone,2010,70.95
i-mate,i-mate JAMA 101,Microsoft Windows Mobile 6.0 Professional,0,1924.45
VK,VK Mobile VK200,Feature phone,2006,235.95
Samsung,Samsung Galaxy Note5,"Android 5.1.1, up to 7.0",2015,879.45
alcatel,alcatel Fire C,Firefox OS 1.3,2014,235.95
Micromax,Micromax Canvas Play 4G Q469,Android 5.0.2,2015,274.45
Micromax,Micromax A105 Canvas Entice,Android 4.4.2,2014,1924.45
Lenovo,Lenovo IdeaTab A1000,"Android 4.1, up to 4.2",2013,824.45
BLU,BLU Neo X Plus,Android 5.1,2016,356.95
HTC,HTC U20 5G,Android 10,2020,1649.45
Nokia,Nokia 7900 Prism,Feature phone,2007,301.95
Coolpad,Coolpad Legacy,Android 9.0,2019,197.45
Motorola,Motorola Moto Z2 Force,"Android 7.1.1, up to Android 9.0",2017,411.95
Micromax,Micromax A60,Android 2.1,2010,1539.45
Motorola,Motorola EX226,Feature phone,2011,2749.45
Huawei,Huawei Y9s,"Android 9.0, EMUI 9.1",2019,153.45
alcatel,alcatel OT-906,Android 2.2,2011,2749.45
Lenovo,Lenovo Golden Warrior Note 8,Android 4.4.2,2014,1374.45
Samsung,Samsung N100,Feature phone,2000,604.45
Spice,Spice Smart Pulse (M-9010),Proprietary OS,2014,604.45
LG,LG Watch Urbane 2nd Edition LTE,Android Wear OS 2.1,2016,879.45
verykool,verykool R28 Denali,Feature phone,2015,879.45
Kyocera,Kyocera Rise C5155,Android 4.0,2012,329.45
Lava,Lava X46,"Android 5.1, up to 6.0.1",2016,274.45
Celkon,Celkon C619,Feature phone,2014,714.45
Nokia,Nokia 6085,Feature phone,2006,164.45
Toshiba,Toshiba TX62,Feature phone,2006,1649.45
NEC,NEC e1108,Feature phone,2006,13749.45
Huawei,Huawei G3621L,Feature phone,2013,4399.45
BLU,BLU Quattro 4.5,"Android 4.0, up to 4.1",2013,235.95
HP,HP iPAQ h6320,Microsoft Windows Mobile 2003 Poc&hellip;,2004,208.45
Motorola,Motorola V555,Feature phone,2004,246.95
Fujitsu,Fujitsu Siemens T810,Microsoft Windows Mobile 5.0 Phone Edition,2006,191.95
Gionee,Gionee Elife S5.5,"Android 4.2, upgrad&#1072",2014,1924.45
LG,LG C2100,Feature phone,2005,494.45
Plum,Plum Sync 4.0b,Android 4.4,2015,4399.45
Lava,Lava Iris 401e,Android 2.3.5,2013,439.45
alcatel,alcatel 3 (2019),Android 8.1,2019,604.45
Samsung,Samsung Galaxy Ace 4 LTE G313,Android 4.4.2,2014,246.95
Xiaomi,Xiaomi Redmi K20,"Android 9.0, up to Android 10, MIUI 12",2019,191.95
ZTE,ZTE Blade A910,Android 6.0,2016,1374.45
Micromax,Micromax X114,Feature phone,2009,4399.45
Samsung,Samsung U750 Zeal,Feature phone,2010,2199.45
Micromax,Micromax A290 Canvas Knight Cameo,Android 4.4.2,2014,1099.45
Philips,Philips X2301,Feature phone,2013,274.45
BLU,BLU Tank Xtreme 2.4,Feature phone,2017,136.95
Siemens,Siemens S45i,Feature phone,0,4399.45
Samsung,Samsung Z330,Feature phone,0,824.45
Asus,Asus Zenfone 5z ZS620KL,"Android 8.0, up to Android 10",2018,8249.45
Wiko,Wiko Lenny,Android 4.4.2,2014,879.45
Allview,Allview Viva H8,Android 4.2,2013,384.45
LG,LG KS365,Feature phone,2010,2199.45
Samsung,Samsung SCH-B100,Feature phone,2005,1099.45
Karbonn,Karbonn K52 Groovster,Feature phone,2012,219.45
Nokia,Nokia 6600 fold,Feature phone,2008,4949.45
Tel.Me.,Tel.Me. T909,Feature phone,0,1044.45
Oppo,Oppo N1,Android 4.2,2013,329.45
Samsung,Samsung E1190,Feature phone,2011,191.95
Huawei,Huawei Ascend P1s,Android 4.0,2012,4399.45
Orange,Orange Stockholm,Android 2.2,2011,301.95
verykool,verykool i650,Feature phone,2011,13749.45
Xiaomi,Xiaomi Redmi K30S,"Android 10, MIUI 12",2020,1649.45
T-Mobile,T-Mobile Vibe E200,Feature phone,2010,5499.45
LG,LG Optimus Black P970,"Android 2.2, 2.3.4, up to 4.0",2011,246.95
LG,LG Q61,Android 9.0,2020,136.95
Acer,Acer Iconia Tab A110,Android 4.1,2012,356.95
Oppo,Oppo Find X2 Pro,"Android 10, ColorOS 7.1",2020,1924.45
Oppo,Oppo Reno3,"Android 10, ColorOS 7",2020,2199.45
Philips,Philips 330,Feature phone,2003,4399.45
Samsung,Samsung X680,Feature phone,2006,136.95
BLU,BLU G9,Android 9.0,2019,164.45
Honor,Honor 8 Pro,"Android 7.0, up to Android 9.0, EMUI 9.1",2017,191.95
verykool,verykool i675,Feature phone,2012,1649.45
Amoi,Amoi A10,Feature phone,2007,191.95
Samsung,Samsung Galaxy Fame Lite Duos S6792L,Android 4.1.2,2013,16499.45
Samsung,Samsung Galaxy J,"Android 4.3, up to 5.0",2013,1924.45
LG,LG L70 D320N,"Android 4.4.2, LG UI 3",2014,164.45
Nokia,Nokia 8800,Feature phone,2005,103.95
Lenovo,Lenovo A789,Android 4.0.4,2012,7149.45
Haier,Haier Z7100,Feature phone,2004,1924.45
Lenovo,Lenovo K5 Note,Android 5.1,2016,4949.45
alcatel,alcatel Pop Astro,Android 4.4.2,2015,98.45
BLU,BLU Studio 7.0 II,Android 5.0,2015,164.45
Asus,Asus Transformer Prime TF700T,Android 4.0,2012,109.45
LG,LG G3 Screen,Android 4.4.4,2014,180.95
alcatel,alcatel Pixi 4 (6) 3G,Android 5.1,2016,1099.45
VK,VK Mobile VK200,Feature phone,2006,2474.45
Pantech,Pantech Vega R3 IM-A850L,"Android 4.0.4, up to 4.1",2012,136.95
Micromax,Micromax X226+,Feature phone,2010,1099.45
Motorola,Motorola MOTOKEY Mini EX108,Feature phone,2011,1099.45
LG,LG Optimus 4X HD P880,"Android 4.0, up to 4.1",2012,219.45
ZTE,ZTE nubia Z18,"Android 8.1, nubia UI 6",2018,1374.45
Yezz,Yezz Andy C5VP,Android 4.4.2,2014,1649.45
Intex,Intex Aqua Trend,Android 5.1,2015,714.45
Haier,Haier C300,Feature phone,2018,235.95
Nokia,Nokia 4.2,"Android 9.0, up to Android 11, Android One",2019,1649.45
Samsung,Samsung E1310,Feature phone,2009,274.45
Asus,Asus Zenfone 4 Selfie Pro ZD552KL,"Android 7, ZenUI 4",2017,1099.45
Gionee,Gionee Marathon M5 Plus,"Android 5.1, Amigo 3.1",2015,1099.45
Nokia,Nokia 6280,Feature phone,2005,2749.45
Honor,Honor Play 8A,"Android 9.0, EMUI 9",2019,219.45
Asus,Asus Memo Pad 10 ME103K,Android 4.4.2,2014,7149.45
Philips,Philips I928,Android 4.4,2015,879.45
Haier,Haier M80,Feature phone,2006,1264.45
Micromax,Micromax Canvas Blaze 4G+ Q414,Android 5.1,2015,1924.45
Asus,Asus Zenfone 4 Pro ZS551KL,"Android 7.1.1, up to Android 8, ZenUI 4",2017,329.45
Prestigio,Prestigio MultiPhone 4322 Duo,Android 4.1,2013,2199.45
HTC,HTC Desire VT,"Android 4.0, Sense UI 4",2012,109.45
Huawei,Huawei Ascend Mate7,"Android 4.4.2, up to 6.0, EMUI 3.1",2014,1924.45
Samsung,Samsung Impact,Feature phone,2008,180.95
LG,LG KF750 Secret,Feature phone,2008,1099.45
Sagem,Sagem my230x,Feature phone,2008,268.95
Nokia,Nokia E73 Mode,"Symbian OS 9.3, Series 60 v3.2 UI",2010,153.45
Motorola,Motorola One Hyper,"Android 10, up to Android 11",2020,549.45
Huawei,Huawei Mate 9 Porsche Design,"Android 7.0, up to Android 9.0, EMUI 9.1",2017,318.45
Nokia,Nokia 6800,Feature phone,2003,16499.45
Samsung,Samsung A897 Mythic,Feature phone,2009,2199.45
QMobile,QMobile Noir LT250,Android 4.4.2,2015,153.45
Samsung,Samsung Galaxy Avant,Android 4.4.2,2014,8249.45
HTC,HTC Sensation,"Android 2.3.4, up to 4.0, Sense UI 3",2011,164.45
BLU,BLU Studio C HD,Android 5.1,2016,1649.45
Sagem,Sagem MC 959,Feature phone,2000,1374.45
Samsung,Samsung Galaxy On5,"Android 5.1
Android 6.0 - T-Mobile",2015,274.45
Innostream,Innostream INNO 110,Feature phone,2003,1264.45
Samsung,Samsung Galaxy Discover S730M,Android 4.0.4,2012,5499.45
Plum,Plum Tracer II,Feature phone,2011,494.45
Wiko,Wiko Jerry3,Android 8.0 Oreo,2019,274.45
Sony,Sony Ericsson P800,"Symbian 7.0, UIQ v2.0 UI",2002,1264.45
Lenovo,Lenovo S850,Android 4.2,2014,219.45
Celkon,Celkon C404,Feature phone,2011,2199.45
alcatel,alcatel OT-800 One Touch CHROME,Feature phone,2009,191.95
Sony,Sony Ericsson C905,Feature phone,2008,219.45
Vodafone,Vodafone 945,Android 2.1,2010,246.95
Wiko,Wiko Lenny2,Android 5.1,2015,301.95
Realme,Realme 2,"Android 8.1, up to Android 9.0, ColorOS 6",2018,208.45
Nokia,Nokia 7900 Prism,Feature phone,2007,1649.45
Spice,Spice M-5055,Feature phone,2010,989.45
Amoi,Amoi 6201,Feature phone,2006,1924.45
Samsung,Samsung Galaxy Ace 4 LTE G313,Android 4.4.2,2014,274.45
Lenovo,Lenovo IdeaTab S6000,Android 4.2.2,2013,2199.45
verykool,verykool R23,Feature phone,2011,153.45
BLU,BLU Tank Xtreme 4.0,Android 6.0,2017,1374.45
HTC,HTC Desire Z,"Android 2.2, up to 2.3, Sense UI",2010,219.45
Siemens,Siemens SFG75,Feature phone,2005,164.45
Ulefone,Ulefone Watch GPS,Proprietary OS,2020,2199.45
Sony,Sony Xperia U,"Android 2.3, up to 4.0",2012,164.45
Siemens,Siemens S11,Feature phone,1998,219.45
Karbonn,Karbonn A21,Android 4.0,2012,136.95
Plum,Plum Flipper,Feature phone,2012,824.45
verykool,verykool s5702 Royale Quattro,Android 7.0,2018,2199.45
Siemens,Siemens M55,Feature phone,2003,2199.45
Philips,Philips Xenium 9@9d,Feature phone,2006,1099.45
Honor,Honor 3X G750,"Android 4.2.2, EMUI 2",2013,1044.45
Oppo,Oppo Find 7,"Android 4.3, ColorOS",2014,109.45
Nokia,Nokia 6170,Feature phone,2004,136.95
alcatel,alcatel Pop C7,Android 4.2,2014,824.45
Micromax,Micromax W900,Microsoft Windows Mobile 6.1 Professional,2010,164.45
alcatel,alcatel Idol X,Android 4.2.1,2013,2749.45
verykool,verykool i600,Feature phone,2011,1924.45
LG,LG Optimus 3D Max P720,"Android 2.3, up to 4.0",2012,219.45
Archos,Archos 50 Platinum,Android 4.1.2,2013,191.95
Xiaomi,Xiaomi Redmi 9C,"Android 10, MIUI 12",2020,1374.45
BLU,BLU Advance L5,Android 8.1 Oreo,2019,1099.45
Xiaomi,Xiaomi Redmi Note 7 Pro,"Android 9.0, up to Android 10, MIUI 12",2019,136.95
Nokia,Nokia 5200,Feature phone,2006,164.45
LG,LG G Vista 2,Android 5.1,2015,2199.45
Samsung,Samsung P930,Feature phone,2006,824.45
HTC,HTC Desire 620G dual sim,"Android 4.4.4, Sense UI",2014,208.45
Nokia,Nokia X3 Touch and Type S,Feature phone,0,274.45
Samsung,Samsung Galaxy Nexus I9250M,Android 4.0,2012,1649.45
Samsung,Samsung I9300I Galaxy S3 Neo,"Android 4.3, up to 4.4.4",2014,2749.45
Oppo,Oppo Joy 3,"Android 4.4, ColorOS 2",2015,235.95
alcatel,alcatel OT-209,Feature phone,2011,1374.45
LG,LG B2000,Feature phone,2005,1264.45
i-mate,i-mate SP3i,Microsoft Windows Mobile 2003 SE Smartphone,2004,2749.45
Samsung,Samsung I110 Illusion,Android 2.3,2011,2749.45
Panasonic,Panasonic Eluga A2,"Android 5.1, FitHome UI",2016,136.95
Huawei,Huawei MediaPad M5 10 (Pro),"Android 8.0, EMUI 8",2018,1429.45
Motorola,Motorola Razr 5G,"Android 10, up to Android 11",2020,1374.45
Sagem,Sagem MY Z-55,Feature phone,2005,274.45
Plum,Plum Ram,Feature phone,2013,10999.45
Nokia,Nokia 1209,Feature phone,2008,1044.45
BLU,BLU Win HD,Microsoft Windows Phone 8.1,2014,1099.45
vivo,vivo Z3,Android 8.1,2018,2199.45
Acer,Acer Liquid Z530,Android 5.1,2015,219.45
Samsung,Samsung T349,Feature phone,2009,3299.45
Motorola,Motorola Edge S,Android 11,2021,70.95
Coolpad,Coolpad Torino,"Android 5.1, Cool UI 8",2016,1099.45
LG,LG G Watch W100,Android Wear OS,2014,2199.45
LG,LG G Pad II 8.3 LTE,Android 5.1.1,2015,235.95
Samsung,Samsung E860,Feature phone,2005,2199.45
Oppo,Oppo R15,"Android 8.1, ColorOS 5",2018,125.95
Samsung,Samsung Galaxy Music S6010,"Android 4.0.4, up to 4.1.2",2012,2749.45
Asus,Asus PadFone,"Android 4.0, up to 4.1",2012,824.45
alcatel,alcatel 1c (2019), Android 8.1 Oreo,2019,2199.45
ZTE,ZTE V889M,Android 4.0,2012,1924.45
Motorola,Motorola C200,Feature phone,2003,659.45
Yezz,Yezz Andy A3.5,Android 4.0,2012,219.45
Sewon,Sewon SRD-200,Feature phone,2004,109.45
alcatel,alcatel OT-706,Feature phone,2010,16499.45
ZTE,ZTE Blade V7 Plus,Android 6.0,2017,81.95
alcatel,alcatel One Touch Idol,Android 4.1,2013,329.45
Nokia,Nokia N-Gage QD,"Symbian 6.1, Series 60 v1.0 UI",2004,164.45
ZTE,ZTE V889M,Android 4.0,2012,274.45
BenQ-Siemens,BenQ-Siemens EL71,Feature phone,2006,235.95
Sony,Sony Xperia E1 II,"Android 4.4.4, Timescape UI",0,2199.45
Tecno,Tecno Camon 11,Android 8.1,2018,164.45
Samsung,Samsung Galaxy Tab 4 10.1 LTE,"Android 4.4.2, TouchWiz UX UI",2014,2199.45
Ulefone,Ulefone Armor 10 5G,"Android 10, planned upgrade to Android 11",2020,219.45
Coolpad,Coolpad Cool 3 Plus,Android 9.0,2019,2199.45
Wiko,Wiko Goa,Android 4.4.2,2014,604.45
Allview,Allview X2 Soul Lite,Android 5.0,2015,191.95
BLU,BLU Touchbook G7,Android 5.0,2015,10999.45
Bird,Bird S890,Feature phone,0,329.45
Motorola,Motorola W510,Feature phone,2007,4399.45
Acer,Acer Liquid Z5,Android 4.2,2014,1099.45
Samsung,Samsung Google Nexus S I9020A,Android 2.3,2011,191.95
HP,HP Slate7 Extreme,Android 4.2.2,2013,1649.45
Jolla,Jolla Jolla,"Sailfish 1, up to 2.0",2013,202.95
Micromax,Micromax A115 Canvas 3D,Android 4.1.2,2013,8249.45
Apple,Apple Watch Series 1 Aluminum 38mm,"watchOS 3.0, up to 6.2.8",2016,219.45
Huawei,Huawei nova 3,"Android 8.1, up to Android 9.0, EMUI 9.1",2018,714.45
Asus,Asus Memo Pad ME172V,Android 4.1,2013,2199.45
Gionee,Gionee P8 Max,"Android 6.0, Amigo 3.2",2017,395.45
Ulefone,Ulefone Armor X5,Android 9.0,2019,2749.45
Lenovo,Lenovo A630,Android 4.0.4,2013,136.95
Samsung,Samsung Z170,Feature phone,2007,191.95
Philips,Philips Xenium X700,Feature phone,2009,714.45
Huawei,Huawei Fit,Proprietary OS,2016,329.45
Gionee,Gionee Marathon M4,"Android 5, Amigo 3",2015,208.45
alcatel,alcatel OT-995,"Android 2.3, up to 4.0",2012,246.95
Nokia,Nokia 603,"Symbian Belle, up to Belle FP1",2011,136.95
Micromax,Micromax X281,Feature phone,2013,3849.45
HTC,HTC Desire 626s,"Android 5.1.1, up to 6.0.1, Sense UI 7",2015,10999.45
Qtek,Qtek 1010,Microsoft Windows Mobile 2002 PocketPC,2003,1099.45
Celkon,Celkon C7,Feature phone,2011,1649.45
O2,O2 XDA phone,Microsoft Windows Mobile 5.0 Smartphone,2005,1374.45
Wiko,Wiko Rainbow Lite 4G,Android 5.1,2015,164.45
Huawei,Huawei P30 lite,"Android 9.0, up to Android 10, EMUI 10.0",2019,1264.45
Motorola,Motorola EM28,Feature phone,2009,274.45
BLU,BLU R1 HD,Android 6.0,2016,164.45
Prestigio,Prestigio MultiPad 7.0 Prime Duo,Android 4.0,2013,180.95
Pantech,Pantech PG-1300,Feature phone,0,1374.45
Motorola,Motorola A1800,Linux,2009,301.95
BLU,BLU Dash L4 LTE,Android 7.0,2017,191.95
Celkon,Celkon C349+,Feature phone,2014,219.45
Nokia,Nokia 6216 classic,Feature phone,0,153.45
Nokia,Nokia X1-00,Feature phone,2011,136.95
Asus,Asus Zenfone 3 Zoom ZE553KL,"Android 6.1, up to Android 8, ZenUI 3",2017,2749.45
Sony,Sony Ericsson Live with Walkman,"Android 2.3, up to 4.0",2011,180.95
Gionee,Gionee Gpad G2,Android 4.1,2013,147.95
Panasonic,Panasonic Eluga Z,"Android 4.4.2, up to 5.0",2015,3024.45
Nokia,Nokia 5730 XpressMusic,"Symbian, S60 rel. 3.2",2009,70.95
Asus,Asus Zenfone 3 Ultra ZU680KL,"Android 6.1, ZenUI 3",2016,246.95
BLU,BLU TV2Go,Feature phone,2009,824.45
Energizer,Energizer Energy E551S,Android 8.0 Oreo,0,191.95
Samsung,Samsung T401G,Feature phone,2009,274.45
HTC,HTC DROID ERIS,"Android 2.1, Sense UI",2009,439.45
Spice,Spice M-5161n,Feature phone,2010,136.95
Toshiba,Toshiba TS608,Feature phone,2006,219.45
QMobile,QMobile Noir X550,Android 4.4.2,2015,1374.45
Motorola,Motorola V220,Feature phone,2003,824.45
Gigabyte,Gigabyte GSmart S1200,Microsoft Windows Mobile 6.1/6.5 Professional,2009,356.95
LG,LG GM360 Viewty Snap,Feature phone,2010,2199.45
verykool,verykool i125,Feature phone,2012,1099.45
Sharp,Sharp Pi,Android 7.0,2018,1099.45
ZTE,ZTE nubia N1 lite,Android 6.0,2017,125.95
HTC,HTC One XL,"Android 4.0, up to 4.1, Sense UI",2012,191.95
ZTE,ZTE Grand X2 In,Android 4.1,2013,153.45
Samsung,Samsung M200,Feature phone,2009,1099.45
Samsung,Samsung Galaxy M40,"Android 9.0, up to Android 11, One UI 3.1",2019,714.45
BLU,BLU Grand M2 LTE,Android 7.0,2017,219.45
Haier,Haier U60,Feature phone,2010,191.95
Ericsson,Ericsson T20s,Feature phone,2000,180.95
LG,LG C105,Feature phone,2010,494.45
Tecno,Tecno Camon X Pro,Android 8.1,2018,4399.45
Maxon,Maxon MX-7990,Feature phone,2003,6599.45
Samsung,Samsung R710 Suede,Feature phone,2011,219.45
BLU,BLU Zoey,Feature phone,2013,879.45
Apple,Apple Watch Edition Series 6,"watchOS 7.0, up to 7.6",2020,274.45
QMobile,QMobile Noir A500,Android 4.2,2013,1649.45
Motorola,Motorola cd930,Feature phone,1998,4949.45
Samsung,Samsung Galaxy Tab 2 7.0 P3100,"Android 4.0.3, up to 4.2.2, TouchWiz UX UI",2012,274.45
LG,LG Optimus GJ E975W,Android 4.1.2,2013,1649.45
NIU,NIU Z10,Feature phone,2014,1594.45
Nokia,Nokia 105 (2017),Feature phone,2017,219.45
Philips,Philips 655,Feature phone,2004,81.95
Sony,Sony CMD J6,Feature phone,2001,714.45
Amoi,Amoi M33,Feature phone,0,2199.45
Motorola,Motorola RAZR i XT890,"Android 4.0.4, up to 4.4.2",2012,191.95
Allview,Allview A5 Quad,Android 4.2.2,2014,109.45
Mitsubishi,Mitsubishi Trium Eclipse,Feature phone,2001,824.45
Samsung,Samsung S200,Feature phone,2003,2749.45
Xiaomi,Xiaomi Mi Watch (China),Proprietary OS,2019,208.45
Lava,Lava V2 3GB,Android 6.0,2016,10999.45
BLU,BLU Sport 4.5,Android 4.4.2,2014,3299.45
NIU,NIU Tek 5D,Android 4.4.2,2015,824.45
Parla,Parla Mist,Feature phone,2012,2749.45
LG,LG K92 5G,Android 10,2020,439.45
HTC,HTC One S C2,"Android 4.0, up to 4.1, Sense UI",2012,1099.45
Samsung,Samsung ATIV S Neo,Microsoft Windows Phone 8,2013,1924.45
XOLO,XOLO Q800 X-Edition,Android 4.1.2,2013,439.45
BLU,BLU Life Pure XL,"Android 4.2.2, up to 4.4.2",2014,16499.45
Siemens,Siemens C75,Feature phone,2005,1924.45
Telit,Telit t410,Feature phone,2005,191.95
Siemens,Siemens AP75,Feature phone,2005,2199.45
Ericsson,Ericsson T18s,Feature phone,1999,136.95
Allview,Allview X3 Soul Plus,Android 6.0,2016,219.45
Samsung,Samsung F330,Feature phone,2007,219.45
Samsung,Samsung T249,Feature phone,2010,1044.45
XOLO,XOLO 8X-1020,Android 4.4.2,2015,263.45
alcatel,alcatel OT 331,Feature phone,2003,274.45
LG,LG G7200,Feature phone,2004,824.45
Nokia,Nokia 5130 XpressMusic,Feature phone,2009,4949.45
Nokia,Nokia E6,"Symbian Anna, up to Nokia Belle OS",2011,329.45
Toshiba,Toshiba Excite Write,Android 4.2.1,2013,1264.45
Acer,Acer Liquid E1,Android 4.1.1,2013,10999.45
Samsung,Samsung i900 Omnia,Microsoft Windows Mobile 6.1 Professional,2008,494.45
XOLO,XOLO Era,Android 4.4.2,2015,219.45
Samsung,Samsung Galaxy Tab S6 5G,"Android 10, One UI 2",2020,76.45
Huawei,Huawei Y9s,"Android 9.0, EMUI 9.1",2019,2749.45
NEC,NEC N850,Feature phone,2005,136.95
Lenovo,Lenovo A859,Android 4.2,2014,329.45
Nokia,Nokia N95 8GB,"Symbian OS 9.2, S60 rel. 3.1",2007,494.45
XOLO,XOLO A1000s,Android 4.4.2,2014,1649.45
Realme,Realme X50m 5G,"Android 10, Realme UI",2020,1044.45
Icemobile,Icemobile G7 Pro,Android 4.2.2,2014,1374.45
Ulefone,Ulefone Armor 3W,Android 9.0,2019,137.5
Meizu,Meizu MX5e,"Android 5.1, Flyme 5",2016,235.95
Allview,Allview P5 Qmax,Android 4.1,2013,2199.45
Meizu,Meizu V8 Pro,"Android 8.0, Flyme UI",2018,2199.45
Vodafone,Vodafone V720,Feature phone,0,136.95
Philips,Philips X800,Feature phone,2008,2199.45
Apple,Apple Watch Edition 38mm (1st gen),"watchOS 1.0, up to 4.3.2",2015,714.45
Sagem,Sagem MY X-1w,Feature phone,2003,192.5
Samsung,Samsung B100,Feature phone,2008,109.45
Icemobile,Icemobile Blizzard,Feature phone,2012,329.45
Philips,Philips S800,Feature phone,2006,6049.45
Motorola,Motorola M3588,Feature phone,1999,301.95
ZTE,ZTE Blade II V880+,"Android 2.3.6, up to 4.0",2012,125.95
Micromax,Micromax Funbook P300,Android 4.0.3,2012,329.45
Samsung,Samsung Galaxy Tab A 8.4 (2020),"Android 10, up to Android 11, One UI 3.1",2020,2529.45
HTC,HTC One X10,Android OS,2017,16499.45
LG,LG A395,Feature phone,2013,1044.45
Posh,Posh Equal Pro LTE L700,Android 5.1,2016,208.45
Xiaomi,Xiaomi Black Shark 3S,Android 10,2020,4399.45
ZTE,ZTE Reef,Android 4.1,2013,494.45
alcatel,alcatel Fierce XL (Windows),Microsoft Windows 10,2016,1099.45
Samsung,Samsung Galaxy Star S5280,Android 4.1.2,2013,439.45
alcatel,alcatel OT-E220,Feature phone,2007,3024.45
Nokia,Nokia Asha 500,"Nokia Asha software platform 1.1.1, up to 1.4",2013,274.45
Huawei,Huawei Mate 30 RS Porsche Design,"Android 10, EMUI 10, no Google Play Services",2019,824.45
vivo,vivo V1,"Android 5.0, Funtouch 2.1",2015,136.95
Dell,Dell Venue 7 8 GB,Android 4.2.2,2013,1924.45
BlackBerry,BlackBerry Curve 8530,BlackBerry OS 5.0,2009,301.95
Samsung,Samsung Mpower Txt M369,Feature phone,2010,329.45
Samsung,Samsung Galaxy A21s,"Android 10, up to Android 11, One UI 3.1",2020,1099.45
Samsung,Samsung J750,Feature phone,2008,153.45
alcatel,alcatel OT-E805,Feature phone,0,125.95
Samsung,Samsung Galaxy A5 Duos,"Android 4.4.4, up to 5.0.2",2014,191.95
ZTE,ZTE Blade A520,Android 7.0,2017,109.45
Lenovo,Lenovo P770,Android 4.1,2012,109.45
Samsung,Samsung Galaxy Xcover FieldPro,Android 8.0,2020,4399.45
Samsung,Samsung Galaxy Pop Plus S5570i,"Android 2.2, up to 2.3",2012,98.45
Haier,Haier M180,Feature phone,2010,191.95
T-Mobile,T-Mobile MDA Vario V,Microsoft Windows Mobile 6.1 Professional,2009,2199.45
Samsung,Samsung Galaxy S5,"Android 4.4.2, up to 6.0, TouchWiz UI",2014,714.45
